timestamp,Open,High,Low,Close,Volume,RSI,MACD,MACD_signal,MACD_diff,SMA_20,SMA_50,BB_upper,BB_middle,BB_lower,Target
2026-04-11 22:00:00,73427.04,73574.0,73234.25,73376.01,431.15797,59.53552533463881,197.84067730074457,155.85628950859777,41.984387792146805,72992.23150000001,72646.2052,73596.53318552708,72992.23150000001,72387.92981447294,0
2026-04-11 23:00:00,73376.01,73376.01,72907.4,73043.16,391.57799,51.0737495058352,170.50737313216086,158.7865062333104,11.72086689885046,73001.05799999999,72661.76939999999,73602.9155361195,73001.05799999999,72399.20046388048,1
2026-04-12 00:00:00,73043.16,73117.32,72873.25,73079.96,390.45862,51.88793482168035,150.0848998019792,157.04618494704417,-6.961285145064977,73014.752,72684.4484,73610.6749918906,73014.752,72418.82900810939,0
2026-04-12 01:00:00,73079.96,73137.24,71310.0,71643.69,2072.10202,30.532261806107883,17.79977226634219,129.1969024109038,-111.3971301445616,72960.82250000001,72681.5628,73798.88268626043,72960.82250000001,72122.76231373959,1
2026-04-12 02:00:00,71643.69,71982.46,71352.47,71761.35,839.35622,32.966246554879035,-76.65928517343127,88.02566489403678,-164.68495006746804,72910.79000000001,72677.5292,73896.77815911749,72910.79000000001,71924.80184088253,0
2026-04-12 03:00:00,71761.35,71861.33,71593.18,71593.19,790.20901,31.27941449403525,-163.20653205447888,37.77922550433365,-200.98575755881254,72853.1805,72666.2344,73993.63615031654,72853.1805,71712.72484968347,0
2026-04-12 04:00:00,71593.18,71685.31,71444.68,71466.53,611.50691,30.032889665118404,-239.25823223701445,-17.62826604393597,-221.62996619307847,72793.2985,72656.2578,74083.1475619646,72793.2985,71503.44943803542,1
2026-04-12 05:00:00,71466.53,71781.0,71417.22,71710.2,667.76838,35.36906419434493,-276.6782454029744,-69.43826191574367,-207.23998348723075,72733.45300000001,72653.0884,74105.09964830414,72733.45300000001,71361.80635169588,0
2026-04-12 06:00:00,71710.19,71753.33,71633.77,71668.01,377.10612,34.873135507613085,-306.2084751437942,-116.79230456135377,-189.41617058244043,72674.668,72644.10280000001,74121.10993071966,72674.668,71228.22606928035,0
2026-04-12 07:00:00,71668.01,71747.31,71588.57,71665.0,313.33908,34.83560705153465,-326.0952537140256,-158.65289439188814,-167.44235932213746,72612.5655,72634.846,74119.16863028317,72612.5655,71105.96236971683,0
2026-04-12 08:00:00,71664.99,71805.85,71595.0,71629.21,922.36362,34.3620969530423,-340.81492064267513,-195.08529964204553,-145.7296210006296,72547.0015,72631.3226,74104.09788498426,72547.0015,70989.90511501573,0
2026-04-12 09:00:00,71629.21,71633.01,71488.45,71531.94,372.12981,33.04734350610022,-356.22292270194157,-227.31282425402475,-128.91009844791682,72490.69499999999,72632.3244,74107.93653786009,72490.69499999999,70873.45346213989,0
2026-04-12 10:00:00,71531.95,71682.72,71357.76,71452.89,274.78665,31.976554347923738,-370.54118160648795,-255.9584957245174,-114.58268588197055,72428.106,72629.2608,74103.23329175312,72428.106,70752.97870824688,1
2026-04-12 11:00:00,71452.89,71556.12,71412.57,71468.55,211.53603,32.44354568585858,-376.28726842222386,-280.0242502640587,-96.26301815816515,72358.625,72622.8836,74071.48796613014,72358.625,70645.76203386986,0
2026-04-12 12:00:00,71468.54,71500.0,71077.44,71084.01,608.12473,27.45857468702323,-407.17656984853966,-305.4547141809549,-101.72185566758475,72261.109,72606.36200000001,74030.141303254,72261.109,70492.076696746,0
2026-04-12 13:00:00,71084.01,71146.03,70866.82,70889.42,708.82478,25.337023121454024,-442.26024965720717,-332.8158212762054,-109.44442838100179,72150.7815,72581.5986,73972.23537688276,72150.7815,70329.32762311723,0
2026-04-12 14:00:00,70889.42,71092.78,70700.0,70748.34,541.94034,23.895500852364776,-475.96170535165584,-361.4449980912955,-114.51670726036036,72010.80399999999,72551.3918,73811.44428157105,72010.80399999999,70210.16371842893,1
2026-04-12 15:00:00,70748.34,70932.0,70604.07,70892.03,502.43194,28.365755178654794,-485.47946459545346,-386.2518913921271,-99.22757320332636,71871.048,72522.8044,73559.97734598945,71871.048,70182.11865401054,1
2026-04-12 16:00:00,70892.04,70959.51,70821.05,70936.27,259.94883,29.734236662221818,-483.87475215573795,-405.7764635448493,-78.09828861088863,71753.34,72483.3498,73356.1171436355,71753.34,70150.56285636449,1
2026-04-12 17:00:00,70936.27,71202.0,70900.0,71140.51,322.7326,35.829135422322096,-460.8106070573267,-416.78329224734483,-44.027314809981874,71639.0135,72456.9498,73064.31001705582,71639.0135,70213.71698294418,0
2026-04-12 18:00:00,71140.51,71214.08,71056.2,71137.64,176.22609,35.78216600938049,-437.71795084567566,-420.970223967011,-16.74772687866465,71527.095,72419.856,72722.17276653257,71527.095,70332.01723346743,0
2026-04-12 19:00:00,71137.65,71222.58,71078.76,71084.18,233.07874,34.86530395265987,-418.90179055623594,-420.55653728485606,1.6547467286201254,71429.14600000001,72379.10639999999,72413.71644656872,71429.14600000001,70444.57555343129,1
2026-04-12 20:00:00,71084.18,71440.0,70956.83,71335.43,622.27061,42.34274710292524,-379.3432400097372,-412.31387782983234,32.970637820095135,71341.9195,72343.67360000001,71970.9380054985,71341.9195,70712.90099450151,1
2026-04-12 21:00:00,71335.43,71452.0,71163.01,71364.02,234.93742,43.142618836451085,-341.7463899803115,-398.2003802599282,56.453990279616676,71327.936,72306.2318,71941.74926692779,71327.936,70714.12273307222,0
